episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
10000,22573,4.3,0.79011,0.395055,0.48891,,1.143683,1.058705
20000,44541,9.4,0.531394,0.265697,0.304671,0.337792,1.132831,1.117085
30000,66253,14.5,0.465027,0.232514,0.275153,0.245233,0.93187,0.808031
40000,87693,19.8,0.442072,0.221036,0.355624,0.224519,1.12766,0.960937
50000,109501,25.2,0.409592,0.204796,0.489302,0.170537,1.000612,0.863874
60000,132093,31.1,0.352319,0.17616,0.535603,0.222861,1.289412,0.654135
70000,155099,37.2,0.319422,0.159711,0.487645,0.134247,0.885535,0.97941
80000,178165,43.0,0.297835,0.148918,0.466617,0.200314,0.774276,1.007107
90000,201481,48.9,0.291115,0.145558,0.467489,0.195916,1.162045,1.096657
100000,225012,54.9,0.292242,0.146121,0.499754,0.181746,1.048028,0.754797
110000,248689,61.0,0.294984,0.147492,0.45524,0.12895,0.845006,0.825582
120000,272329,67.5,0.297549,0.148775,0.450916,0.188591,0.664244,0.749777
130000,295976,74.3,0.293186,0.146593,0.35985,0.192068,1.063681,0.919894
140000,319708,81.2,0.288398,0.144199,0.466094,0.19063,0.792324,0.952279
150000,343504,88.7,0.280499,0.14025,0.439207,0.149481,0.71489,0.729947
160000,367284,95.8,0.273291,0.136645,0.427511,0.099029,0.865107,0.871559
170000,391317,102.9,0.260056,0.130028,0.419066,0.191425,0.777502,0.619564
180000,415441,110.2,0.253318,0.126659,0.498957,0.270038,0.543911,0.516095
190000,439729,117.5,0.259283,0.129642,0.418602,0.191243,0.886889,0.574537
200000,464050,125.0,0.257709,0.128854,0.437977,0.128134,0.514373,0.871296
210000,488490,132.3,0.267161,0.133581,0.433212,0.197072,0.670979,0.976294
220000,512832,139.7,0.268653,0.134327,0.40145,0.189642,0.384896,0.660718
230000,537457,147.3,0.273981,0.13699,0.458244,0.297767,0.418849,0.747742
240000,561941,154.6,0.277169,0.138585,0.383384,0.250344,0.618586,0.454512
250000,586536,161.9,0.281566,0.140783,0.493253,0.17624,0.373681,0.437037
260000,611134,169.2,0.287014,0.143507,0.443958,0.247466,0.611809,0.58758
270000,635929,176.4,0.288825,0.144413,0.442091,0.229449,0.409439,0.694626
280000,660702,183.8,0.296511,0.148256,0.397582,0.234832,0.317406,0.506856
290000,685503,191.9,0.295872,0.147936,0.543452,0.226117,0.480076,0.673247
300000,710445,199.3,0.297716,0.148858,0.472176,0.15391,0.294417,0.286097
310000,735278,206.8,0.300501,0.15025,0.366409,0.19277,0.47043,0.598376
320000,760360,214.4,0.304616,0.152308,0.434141,0.258697,0.563255,0.612296
330000,785454,221.8,0.303304,0.151652,0.44427,0.315429,0.332617,0.472948
340000,810575,229.0,0.300554,0.150277,0.474092,0.355095,0.649621,0.641055
350000,835751,236.3,0.292721,0.14636,0.442233,0.204397,0.597199,0.596008
