detector,job,level,hidden,cap,hands,auroc,auroc_lo,auroc_hi,tpr,tpr_lo,tpr_hi,trials,fpr_heldout
D1,imitate,0.05,128,100,30,0.5378,0.5176,0.558,0.067,0.0531,0.0842,1000,0.0503
D1,imitate,0.1,128,100,30,0.6495,0.6295,0.6695,0.14,0.1199,0.1629,1000,0.0503
D1,imitate,0.2,128,100,30,0.9839,0.9784,0.9894,0.928,0.9103,0.9424,1000,0.0503
D1,mix,0.05,128,100,30,0.5982,0.5779,0.6185,0.107,0.0893,0.1277,1000,0.0503
D1,mix,0.1,128,100,30,0.6967,0.6772,0.7162,0.177,0.1546,0.2019,1000,0.0503
D1,mix,0.2,128,100,30,0.8148,0.7979,0.8316,0.389,0.3593,0.4196,1000,0.0503
D1,anti,,128,100,30,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.0503
D2,imitate,0.05,128,100,30,0.5028,0.4775,0.5281,0.039,0.0287,0.0529,1000,0.0473
D2,imitate,0.1,128,100,30,0.5185,0.4932,0.5437,0.078,0.0629,0.0963,1000,0.0473
D2,imitate,0.2,128,100,30,0.4979,0.4726,0.5232,0.02,0.013,0.0307,1000,0.0473
D2,mix,0.05,128,100,30,0.6425,0.6185,0.6666,0.143,0.1227,0.1661,1000,0.0473
D2,mix,0.1,128,100,30,0.703,0.6803,0.7257,0.287,0.2598,0.3158,1000,0.0473
D2,mix,0.2,128,100,30,0.9097,0.8964,0.923,0.51,0.479,0.5409,1000,0.0473
D2,anti,,128,100,30,0.9937,0.9903,0.9972,0.976,0.9645,0.9838,1000,0.0473
D1,imitate,0.05,128,100,100,0.5637,0.5434,0.584,0.085,0.0693,0.1039,1000,0.0532
D1,imitate,0.1,128,100,100,0.778,0.7601,0.7959,0.309,0.2811,0.3383,1000,0.0532
D1,imitate,0.2,128,100,100,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.0532
D1,mix,0.05,128,100,100,0.6626,0.6427,0.6825,0.142,0.1217,0.165,1000,0.0532
D1,mix,0.1,128,100,100,0.8182,0.8015,0.8349,0.36,0.3308,0.3902,1000,0.0532
D1,mix,0.2,128,100,100,0.9589,0.9502,0.9676,0.816,0.7908,0.8388,1000,0.0532
