episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
10000,21970,6.9,0.99337,0.496685,0.534297,,1.041285,0.769429
20000,42633,16.5,0.589846,0.294923,0.11805,0.402861,1.30226,0.981341
30000,63209,26.8,0.511038,0.255519,0.308485,0.262736,1.323853,0.760818
40000,84261,35.8,0.467007,0.233504,0.440503,0.189117,1.066901,0.94476
50000,105996,46.1,0.40554,0.20277,0.439405,0.28968,1.093648,0.870522
60000,128344,57.6,0.33752,0.16876,0.50322,0.220023,0.947592,1.174631
70000,151166,67.9,0.304971,0.152486,0.531192,0.172007,1.092426,0.896832
80000,174267,78.8,0.293409,0.146705,0.476207,0.214749,1.201513,1.375578
90000,197652,89.8,0.295501,0.14775,0.493977,0.258771,0.891012,0.998215
100000,221217,101.0,0.29665,0.148325,0.473372,0.185803,1.071121,1.293701
110000,244920,112.4,0.301439,0.150719,0.510797,0.160683,0.763715,0.77579
120000,268613,124.4,0.304955,0.152477,0.444888,0.25781,0.819275,1.004031
130000,292428,136.5,0.303179,0.15159,0.356324,0.158107,0.886796,0.768734
140000,316338,150.9,0.307393,0.153697,0.41144,0.152905,0.746333,0.735945
150000,340291,163.9,0.30641,0.153205,0.382627,0.128468,1.039115,0.782036
160000,364288,176.5,0.301992,0.150996,0.436043,0.216992,0.642583,0.615159
170000,388414,188.5,0.296527,0.148263,0.466355,0.112674,0.837049,0.72989
180000,412545,200.9,0.289368,0.144684,0.393273,0.136823,0.646466,0.736899
190000,436630,213.1,0.280732,0.140366,0.408144,0.157573,0.554454,0.970604
200000,460940,225.2,0.271015,0.135508,0.426561,0.187806,0.548472,0.933893
210000,485229,237.6,0.263199,0.131599,0.464267,0.17878,0.547911,0.7002
220000,509598,249.3,0.262164,0.131082,0.406123,0.132257,0.708183,1.029961
230000,534162,262.2,0.269644,0.134822,0.440033,0.200648,0.644988,0.747002
240000,558710,274.2,0.270746,0.135373,0.524078,0.237524,0.471723,0.666725
250000,583359,286.2,0.272244,0.136122,0.512772,0.265245,0.502333,0.403238
260000,608042,298.5,0.272962,0.136481,0.543456,0.213935,0.478811,0.500613
270000,632676,310.4,0.280702,0.140351,0.535335,0.269191,0.415651,0.323464
280000,657415,322.8,0.288116,0.144058,0.396131,0.218954,0.358739,0.47303
290000,682109,337.6,0.286274,0.143137,0.474046,0.21782,0.412936,0.570559
300000,707079,355.8,0.293579,0.14679,0.433825,0.229252,0.547729,0.631397
310000,732012,375.1,0.290309,0.145154,0.436547,0.253209,0.541646,0.67788
320000,757128,390.3,0.295257,0.147629,0.413847,0.308788,0.534479,0.657265
330000,782247,402.8,0.296415,0.148208,0.409202,0.260728,0.51574,0.626564
340000,807384,414.9,0.295076,0.147538,0.407376,0.315736,0.312349,0.740242
350000,832602,427.1,0.296155,0.148078,0.418201,0.275006,0.720255,0.595791
360000,857798,439.1,0.296936,0.148468,0.465587,0.263671,0.467706,0.659682
370000,883069,453.0,0.283832,0.141916,0.462817,0.303986,0.418733,0.661813
380000,908347,466.5,0.277935,0.138968,0.408581,0.379619,0.330315,0.615211
390000,933595,479.8,0.275963,0.137981,0.383709,0.29961,0.264863,0.613656
400000,958992,494.0,0.263164,0.131582,0.408222,0.338973,0.449586,0.580334
410000,984407,508.5,0.259877,0.129938,0.396434,0.418271,0.354528,0.61258
420000,1009847,523.5,0.251758,0.125879,0.392016,0.394596,0.499814,0.659327
430000,1035181,539.0,0.246339,0.123169,0.40925,0.384939,0.30135,0.475908
440000,1060721,554.7,0.236908,0.118454,0.437557,0.436468,0.324847,0.719337
450000,1086301,569.3,0.239361,0.11968,0.40863,0.408362,0.398452,0.750458
460000,1111783,586.1,0.247247,0.123624,0.402572,0.430812,0.301968,0.753798
470000,1137335,605.3,0.24891,0.124455,0.470472,0.374753,0.574308,0.706097
480000,1162901,619.8,0.248639,0.12432,0.383318,0.421983,0.624844,0.542646
490000,1188304,634.8,0.248685,0.124342,0.360019,0.36383,0.44483,0.693187
500000,1213925,649.9,0.245919,0.122959,0.401725,0.371107,0.535059,0.66582
510000,1239511,664.7,0.243306,0.121653,0.439066,0.406655,0.297339,0.682975
520000,1265006,678.3,0.235629,0.117815,0.416797,0.367667,0.488721,0.604349
530000,1290386,692.0,0.239952,0.119976,0.434004,0.384098,0.60839,0.668073
540000,1315669,705.7,0.240242,0.120121,0.416717,0.405195,0.393173,0.664733
550000,1341235,719.1,0.233419,0.116709,0.443349,0.343705,0.458596,0.756854
560000,1366812,734.5,0.235,0.1175,0.393893,0.370353,0.451083,0.864292
570000,1392438,748.0,0.220798,0.110399,0.432918,0.422065,0.317861,0.858949
580000,1418009,761.0,0.229407,0.114703,0.403294,0.465386,0.241776,0.937141
590000,1443593,773.7,0.226903,0.113452,0.397202,0.410974,0.312304,0.820837
600000,1469294,785.8,0.225509,0.112754,0.438749,0.443579,0.624687,0.73938
610000,1494982,798.1,0.213235,0.106617,0.388097,0.427957,0.383799,0.700443
620000,1520721,810.5,0.212956,0.106478,0.393545,0.391123,0.365261,0.897806
630000,1546425,822.8,0.205083,0.102541,0.418688,0.355831,0.592488,0.629113
640000,1572134,834.4,0.202529,0.101264,0.409944,0.376937,0.371705,0.883201
650000,1597674,846.7,0.212242,0.106121,0.384453,0.440249,0.670662,0.970784
660000,1623336,858.2,0.210193,0.105096,0.402626,0.40401,0.415751,0.798167
670000,1649017,870.5,0.209523,0.104762,0.418908,0.384018,0.455767,0.849783
680000,1674695,882.1,0.217778,0.108889,0.483332,0.406734,0.459329,0.615199
690000,1700304,893.1,0.218458,0.109229,0.440072,0.37377,0.54587,0.959212
700000,1725898,904.4,0.218328,0.109164,0.337023,0.404493,0.430111,1.083971
710000,1751490,915.8,0.220589,0.110294,0.377939,0.426158,0.448982,0.839755
720000,1776869,926.9,0.212216,0.106108,0.450177,0.394517,0.552306,1.119256
730000,1802287,938.7,0.212176,0.106088,0.402259,0.49747,0.457136,0.886397
740000,1827676,951.2,0.210602,0.105301,0.339005,0.409637,0.552418,0.804855
750000,1852963,963.7,0.201576,0.100788,0.302307,0.417786,0.68271,0.833997
760000,1878284,977.5,0.201371,0.100685,0.377142,0.406592,0.494977,0.902072
770000,1903569,991.5,0.197773,0.098886,0.406324,0.367372,0.54318,0.751232
780000,1928811,1006.6,0.195477,0.097738,0.400726,0.334751,0.559604,0.795126
790000,1954002,1020.0,0.185129,0.092564,0.46106,0.392233,0.510751,0.600136
800000,1979163,1034.2,0.192003,0.096002,0.410252,0.410882,0.414455,0.957938
810000,2004241,1048.3,0.18356,0.09178,0.396244,0.379724,0.425935,0.930773
820000,2029303,1061.6,0.174902,0.087451,0.366122,0.445125,0.483181,0.636114
830000,2054483,1076.3,0.181152,0.090576,0.401545,0.430602,0.439557,0.895458
840000,2079521,1092.4,0.169393,0.084696,0.346853,0.403566,0.49572,0.69086
850000,2104556,1106.4,0.172998,0.086499,0.428003,0.416172,0.517512,0.849114
860000,2129390,1120.5,0.172129,0.086065,0.374506,0.366315,0.58967,0.76198
870000,2154381,1135.2,0.165752,0.082876,0.392872,0.427817,0.559753,0.756104
880000,2179259,1150.1,0.165342,0.082671,0.360685,0.391569,0.530661,0.704807
890000,2204127,1163.8,0.160807,0.080404,0.474189,0.374719,0.476389,0.872334
900000,2229060,1177.2,0.161276,0.080638,0.289652,0.421176,0.509243,0.857436
910000,2253860,1190.0,0.159834,0.079917,0.331885,0.422523,0.557426,0.999098
920000,2278722,1203.0,0.152531,0.076265,0.438887,0.391912,0.51164,0.639409
930000,2303414,1216.7,0.150102,0.075051,0.366485,0.395548,0.474954,0.696823
940000,2328235,1229.8,0.142945,0.071472,0.450485,0.356067,0.728903,0.912358
950000,2353056,1243.5,0.150565,0.075282,0.329056,0.394098,0.573532,0.689422
960000,2377698,1256.7,0.13919,0.069595,0.434146,0.436824,0.494112,0.643595
